ID,Status,Area,level,StDens
F20_001,after,113.255213,0.95,0
F20_001,before,101.539058,0.95,0
F20_002,after,57.58609676,0.95,0
F20_002,before,86.11166765,0.95,0
F20_003,after,77.58403335,0.95,0
F20_003,before,139.9255329,0.95,0
F20_004,after,66.83373422,0.95,0.000501996
F20_004,before,64.68895876,0.95,0
F20_005,after,71.07712392,0.95,0.148805047
F20_005,before,85.80135773,0.95,0
F20_006,after,93.5897158,0.95,0.064687046
F20_006,before,85.45711736,0.95,0
F20_007,after,133.3956084,0.95,0.088365021
F20_007,before,60.56688191,0.95,0
F20_008,after,67.57251714,0.95,0.026971614
F20_008,before,48.6216355,0.95,0
F20_009,after,79.10374121,0.95,0.046442798
F20_009,before,58.65370831,0.95,0
F20_010,after,69.68699218,0.95,0.026297324
F20_010,before,56.64523091,0.95,0
F20_011,after,124.3344202,0.95,0.026522087
F20_011,before,87.31036792,0.95,0
F20_012,after,77.91964079,0.95,0.026859232
F20_012,before,82.63744227,0.95,0
F20_013,after,91.82987014,0.95,0.026634469
F20_013,before,88.40147107,0.95,0
F20_015,after,69.86929249,0.95,0.02570301
F20_015,before,55.8076915,0.95,0
F20_016,after,135.8026891,0.95,0.026152537
F20_016,before,104.5937411,0.95,0
F20_017,after,46.36999348,0.95,0.000337145
F20_017,before,53.33321978,0.95,0
F20_018,after,67.61268949,0.95,0.113451181
F20_018,before,192.6836722,0.95,0
F20_019,after,84.97894189,0.95,0.026112549
F20_019,before,100.7269504,0.95,0
F20_020,after,106.1515422,0.95,0.026859232
F20_020,before,85.59706124,0.95,0
